Team 1,Team 2,Team 1 Score,Team 2 Score,Score Difference,Margin Type,Ground,Pitch Type
Australia,Pakistan,307,266,41, runs,Taunton,Flat Track Pitch
Australia,Sri Lanka,131,125,87, runs,The Oval,Flat Track Pitch
Australia,India,316,352,36, runs,The Oval,Flat Track Pitch
Bangladesh,South Africa,330,309,21, runs,The Oval,Flat Track Pitch
England,South Africa,311,207,104, runs,The Oval,Flat Track Pitch
England,South Africa,170,262,229, runs,Wankhede,Flat Track Pitch
Bangladesh,South Africa,233,382,149, runs,Wankhede,Flat Track Pitch
India,Sri Lanka,357,55,302, runs,Wankhede,Flat Track Pitch
India,New Zealand,397,327,70, runs,Wankhede,Flat Track Pitch
Pakistan,South Africa,270,271,18, runs,Chennai,Dry Pitch
England,New Zealand,282,283,174, runs,Ahmedabad,Flat Track Pitch
India,Pakistan,192,191,222, runs,Ahmedabad,Flat Track Pitch
Afghanistan,South Africa,244,247,137, runs,Ahmedabad,Flat Track Pitch
India,Australia,240,241,192, runs,Ahmedabad,Flat Track Pitch
England,Sri Lanka,156,160,284, runs,Bengaluru,Flat Track Pitch
New Zealand,Sri Lanka,172,171,94, runs,Bengaluru,Flat Track Pitch
England,Australia,226,223,396, runs,Birmingham,Flat Track Pitch
New Zealand,Pakistan,237,241,192, runs,Birmingham,Flat Track Pitch
New Zealand,South Africa,245,241,91, runs,Birmingham,Flat Track Pitch
Afghanistan,Australia,207,209,243, runs,Bristol,Flat Track Pitch
Afghanistan,South Africa,273,334,174, runs,Cardiff,Flat Track Pitch
New Zealand,Sri Lanka,137,136,174, runs,Cardiff,Flat Track Pitch
India,Australia,201,199,159, runs,Chennai,Dry Pitch
Bangladesh,New Zealand,245,248,174, runs,Chennai,Dry Pitch
Afghanistan,Pakistan,286,282,174, runs,Chennai,Dry Pitch
South Africa,Sri Lanka,206,203,174, runs,Chester-le-Street,Green Pitch
India,Afghanistan,273,272,174, runs,Delhi,Dry Pitch
Bangladesh,Sri Lanka,282,279,69, runs,Delhi,Dry Pitch
Afghanistan,Bangladesh,156,158,126, runs,Dharamsala,Green Pitch
India,New Zealand,274,273,103, runs,Dharamsala,Green Pitch
Bangladesh,Pakistan,204,205,239, runs,Eden Gardens,Dusty Pitch
Australia,South Africa,215,212,52, runs,Eden Gardens,Dusty Pitch
Pakistan,Sri Lanka,345,344,275, runs,Hyderabad,Flat Track Pitch
India,Sri Lanka,265,264,307, runs,Leeds,Green Pitch
Afghanistan,Pakistan,230,243,60, runs,Leeds,Green Pitch
England,New Zealand,241,241,0, runs,Lord's,Flat Track Pitch
Australia,Sri Lanka,215,209,116, runs,Lucknow,Flat Track Pitch
Netherlands,Sri Lanka,263,399,221, runs,Lucknow,Flat Track Pitch
Afghanistan,Netherlands,181,179,208, runs,Lucknow,Flat Track Pitch
Pakistan,West Indies,105,108,125, runs,Nottingham,Green Pitch
India,Bangladesh,261,256,298, runs,Pune,Dusty Pitch
Afghanistan,Sri Lanka,242,241,0, runs,Pune,Dusty Pitch
Australia,Bangladesh,307,306,174, runs,Pune,Dusty Pitch
England,West Indies,213,212,376, runs,Southampton,Flat Track Pitch
India,South Africa,230,227,181, runs,Southampton,Flat Track Pitch
Bangladesh,West Indies,322,321,374, runs,Taunton,Flat Track Pitch
Afghanistan,New Zealand,280,386,174, runs,Taunton,Flat Track Pitch
Bangladesh,New Zealand,244,248,36, runs,The Oval,Flat Track Pitch
Afghanistan,Australia,291,293,73, runs,Wankhede,Flat Track Pitch
